crash_id,location_id
20215133,1
20215156,2
20215047,3
20215063,4
20215152,5
20215013,6
20215078,7
20215057,8
20215150,9
20215054,10
20215144,11
20215151,12
20215066,13
20215076,14
20215105,15
20215106,16
20215141,17
20215018,18
20215149,19
20215024,20
20215095,21
20215001,22
20215114,23
20215067,24
20215065,25
20215041,26
20215020,27
20215125,28
20215157,29
20215059,30
20215154,31
20215102,32
20215127,33
20215077,34
20215044,12
20215140,35
20215088,36
20215155,37
20215147,1
20215055,16
20215121,38
20215014,35
20215040,39
20215142,40
20215132,41
20215128,42
20215089,43
20215028,42
20215002,44
20215022,27
20215030,45
20215038,46
20215049,47
20215145,48
20215110,19
20215015,49
20215007,35
20215123,8
20215091,50
20215153,23
20215139,51
20215082,52
20215131,53
20215005,54
20215046,55
20215143,49
20215061,56
20215052,57
20215099,58
20215004,59
20215021,60
20215073,45
20215009,61
20215098,57
20215096,62
20215070,63
20215148,64
20215045,65
20215083,66
20215011,67
20215056,68
20215053,69
20215033,70
20215068,71
20215006,25
20215100,72
20215036,73
20215037,74
20215108,75
20215124,76
20215069,15
20215058,77
20215092,78
20215090,37
20215094,79
20215050,65
20215115,80
20215134,40
20215093,81
20215003,45
20215136,82
20215111,74
20215039,83
20215043,84
20215146,85
20215042,86
20215087,87
20215034,47
20215086,88
20215027,72
20215074,89
20215097,90
20215060,91
20215119,92
20215103,93
20215138,94
20215117,95
20215129,96
20215081,96
20215008,34
20215158,97
20215071,98
20215126,99
20215080,100
20215026,101
20215051,102
20215113,103
20215064,28
20215118,104
20215029,3
20215010,10
20215085,105
20215135,106
20215079,22
20215048,94
20215130,107
20215025,108
20215109,109
20215031,110
20215032,111
20215112,102
20215035,112
