National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Rockhampton,Central Queensland,Inner Regional Australia,Pedestrian Thoroughfare,91
Mid-Coast,Mid North Coast,Inner Regional Australia,National or State Highway,92
Ipswich,Ipswich,Inner Regional Australia,Sub-arterial Road,93
Muswellbrook,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,94
Glenelg,Warrnambool and South West,Outer Regional Australia,National or State Highway,95
Bundaberg,Wide Bay,Inner Regional Australia,Collector Road,96
Douglas,Cairns,Outer Regional Australia,National or State Highway,97
Western Downs,Darling Downs - Maranoa,Outer Regional Australia,Sub-arterial Road,98
Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,Arterial Road,99
Brisbane,Brisbane - South,Major Cities of Australia,Local Road,100
Cabonne,Central West,Outer Regional Australia,Arterial Road,101
Gold Coast,Gold Coast,Major Cities of Australia,Collector Road,102
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,Arterial Road,103
Frankston,Mornington Peninsula,Major Cities of Australia,Sub-arterial Road,104
Moree Plains,New England and North West,Outer Regional Australia,National or State Highway,105
Parramatta,Sydney - Parramatta,Major Cities of Australia,Local Road,106
Meander Valley,Launceston and North East,Outer Regional Australia,National or State Highway,107
Queanbeyan-Palerang,Capital Region,Major Cities of Australia,Local Road,108
Snowy Monaro,Capital Region,Outer Regional Australia,National or State Highway,109
Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,Local Road,110
Federation,Murray,Outer Regional Australia,National or State Highway,111
Toowoomba,Toowoomba,Inner Regional Australia,Local Road,112
Brisbane,Brisbane Inner City,Major Cities of Australia,Sub-arterial Road,113
Blacktown,Sydney - Blacktown,Major Cities of Australia,Arterial Road,114
Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,National or State Highway,115
Cowra,Central West,Inner Regional Australia,Local Road,116
Goulburn Mulwaree,Capital Region,Inner Regional Australia,National or State Highway,117
Moreton Bay,Moreton Bay - South,Major Cities of Australia,Local Road,118
Gympie,Wide Bay,Inner Regional Australia,Local Road,119
Willoughby,Sydney - North Sydney and Hornsby,Major Cities of Australia,Arterial Road,120
Shoalhaven,Capital Region,Inner Regional Australia,National or State Highway,121
Queanbeyan-Palerang,Capital Region,Inner Regional Australia,Arterial Road,122
Greater Bendigo,Bendigo,Inner Regional Australia,National or State Highway,123
Nillumbik,Melbourne - North East,Inner Regional Australia,Arterial Road,124
Rockhampton,Central Queensland,Inner Regional Australia,National or State Highway,125
Wollongong,Illawarra,Inner Regional Australia,Arterial Road,126
South Burnett,Wide Bay,Inner Regional Australia,Collector Road,127
Tatiara,South Australia - South East,Remote Australia,National or State Highway,128
Tweed,Richmond - Tweed,Inner Regional Australia,Arterial Road,129
Mid-Coast,Mid North Coast,Outer Regional Australia,Sub-arterial Road,130
Ipswich,Ipswich,Major Cities of Australia,National or State Highway,131
Ararat,North West,Inner Regional Australia,National or State Highway,132
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,Arterial Road,133
Light,Barossa - Yorke - Mid North,Inner Regional Australia,Arterial Road,134
Salisbury,Adelaide - North,Major Cities of Australia,Collector Road,135
Cairns,Cairns,Outer Regional Australia,National or State Highway,136
Colac Otway,Warrnambool and South West,Inner Regional Australia,Arterial Road,137
McKinlay,Queensland - Outback,Very Remote Australia,Sub-arterial Road,138
Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,Local Road,139
Gladstone,Central Queensland,Outer Regional Australia,National or State Highway,140
Wagga Wagga,Riverina,Inner Regional Australia,Sub-arterial Road,141
Lithgow,Central West,Inner Regional Australia,National or State Highway,142
Campbelltown (NSW),Sydney - Outer South West,Major Cities of Australia,National or State Highway,143
Moyne,Warrnambool and South West,Inner Regional Australia,National or State Highway,144
Cairns,Cairns,Outer Regional Australia,Sub-arterial Road,145
Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road,146
Warrumbungle,Far West and Orana,Outer Regional Australia,Local Road,147
Whitsunday,Mackay - Isaac - Whitsunday,Outer Regional Australia,National or State Highway,148
Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,Arterial Road,149
Noosa,Sunshine Coast,Major Cities of Australia,Sub-arterial Road,150
Port Stephens,Newcastle and Lake Macquarie,Major Cities of Australia,Arterial Road,151
Gawler,Adelaide - North,Major Cities of Australia,Collector Road,152
Alpine,Hume,Inner Regional Australia,Local Road,153
Cabonne,Central West,Inner Regional Australia,Local Road,154
Brisbane,Ipswich,Major Cities of Australia,Collector Road,155
Baw Baw,Latrobe - Gippsland,Inner Regional Australia,Local Road,156
Isaac,Mackay - Isaac - Whitsunday,Remote Australia,National or State Highway,157
Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway,158
Maranoa,Darling Downs - Maranoa,Remote Australia,National or State Highway,159
Southern Grampians,Warrnambool and South West,Outer Regional Australia,National or State Highway,160
Moreton Bay,Moreton Bay - North,Major Cities of Australia,Sub-arterial Road,161
Cessnock,Hunter Valley exc Newcastle,Inner Regional Australia,Arterial Road,162
Scenic Rim,Logan - Beaudesert,Inner Regional Australia,National or State Highway,163
Somerset,Ipswich,Inner Regional Australia,Local Road,164
Hinchinbrook,Townsville,Remote Australia,Access road,165
Scenic Rim,Logan - Beaudesert,Inner Regional Australia,Sub-arterial Road,166
Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,Collector Road,167
Playford,Adelaide - North,Major Cities of Australia,National or State Highway,168
Cobar,Far West and Orana,Very Remote Australia,National or State Highway,169
South Burnett,Wide Bay,Outer Regional Australia,Local Road,170
Ararat,North West,Outer Regional Australia,National or State Highway,171
Somerset,Ipswich,Inner Regional Australia,Sub-arterial Road,172
Campbelltown (NSW),Sydney - Outer South West,Major Cities of Australia,Collector Road,173
Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,Sub-arterial Road,174
Bega Valley,Capital Region,Outer Regional Australia,National or State Highway,175
Tea Tree Gully,Adelaide - North,Major Cities of Australia,Sub-arterial Road,176
Moreton Bay,Moreton Bay - North,Major Cities of Australia,Local Road,177
Kiama,Illawarra,Inner Regional Australia,Arterial Road,178
