National LGA Name 2024,SA4 Name 2021,National Remoteness Areas,National Road Type,location_id
Blacktown,Sydney - Blacktown,Major Cities of Australia,Access road,401
Blacktown,Sydney - Blacktown,Major Cities of Australia,Collector Road,402
Dubbo,Far West and Orana,Inner Regional Australia,National or State Highway,403
Lake Macquarie,Newcastle and Lake Macquarie,Major Cities of Australia,National or State Highway,404
Gold Coast,Gold Coast,Inner Regional Australia,Sub-arterial Road,405
Mildura,North West,Outer Regional Australia,National or State Highway,406
Brisbane,Brisbane - North,Major Cities of Australia,National or State Highway,407
Hornsby,Sydney - North Sydney and Hornsby,Inner Regional Australia,National or State Highway,408
Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,National or State Highway,409
Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,Local Road,410
Monash,Melbourne - South East,Major Cities of Australia,National or State Highway,411
Mansfield,Hume,Outer Regional Australia,Arterial Road,412
Charters Towers,Townsville,Very Remote Australia,National or State Highway,413
The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Local Road,414
Fairfield,Sydney - South West,Major Cities of Australia,Collector Road,415
Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,National or State Highway,416
Richmond Valley,Richmond - Tweed,Inner Regional Australia,Sub-arterial Road,417
Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,Sub-arterial Road,418
Parramatta,Sydney - Parramatta,Major Cities of Australia,Arterial Road,419
Ballarat,Ballarat,Inner Regional Australia,Local Road,420
Sutherland,Sydney - Sutherland,Inner Regional Australia,Arterial Road,421
Mid-Western,Central West,Inner Regional Australia,Sub-arterial Road,422
Hume,Melbourne - North West,Major Cities of Australia,Arterial Road,423
Newcastle,Newcastle and Lake Macquarie,Major Cities of Australia,Arterial Road,424
Ipswich,Ipswich,Inner Regional Australia,National or State Highway,425
Glen Eira,Melbourne - Inner South,Major Cities of Australia,National or State Highway,426
Monash,Melbourne - South East,Major Cities of Australia,Local Road,427
Sunshine Coast,Sunshine Coast,Inner Regional Australia,Local Road,428
Cabonne,Central West,Outer Regional Australia,Sub-arterial Road,429
Nillumbik,Melbourne - North East,Major Cities of Australia,Arterial Road,430
Yarriambiack,North West,Remote Australia,National or State Highway,431
Greater Bendigo,Bendigo,Inner Regional Australia,Local Road,432
South Burnett,Wide Bay,Inner Regional Australia,National or State Highway,433
Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,National or State Highway,434
West Wimmera,North West,Outer Regional Australia,Sub-arterial Road,435
Frankston,Mornington Peninsula,Major Cities of Australia,Collector Road,436
Fairfield,Sydney - South West,Major Cities of Australia,Arterial Road,437
Brisbane,Ipswich,Major Cities of Australia,Sub-arterial Road,438
Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,National or State Highway,439
Casey,Melbourne - South East,Major Cities of Australia,Local Road,440
Pyrenees,Ballarat,Inner Regional Australia,National or State Highway,441
Unincorporated NSW,Far West and Orana,Remote Australia,National or State Highway,442
Break O'Day,Launceston and North East,Outer Regional Australia,National or State Highway,443
Onkaparinga,Adelaide - South,Major Cities of Australia,Arterial Road,444
Strathfield,Sydney - Inner South West,Major Cities of Australia,National or State Highway,445
Bayside (NSW),Sydney - Inner South West,Major Cities of Australia,Collector Road,446
Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,National or State Highway,447
Lake Macquarie,Newcastle and Lake Macquarie,Inner Regional Australia,National or State Highway,448
Cardinia,Melbourne - South East,Major Cities of Australia,Sub-arterial Road,449
Bundaberg,Wide Bay,Outer Regional Australia,Sub-arterial Road,450
South Burnett,Wide Bay,Outer Regional Australia,Sub-arterial Road,451
Brimbank,Melbourne - West,Major Cities of Australia,National or State Highway,452
Brisbane,Brisbane Inner City,Major Cities of Australia,Local Road,453
Mid Murray,South Australia - South East,Inner Regional Australia,Sub-arterial Road,454
Murray Bridge,South Australia - South East,Inner Regional Australia,Local Road,455
Tweed,Richmond - Tweed,Major Cities of Australia,National or State Highway,456
Murray River,Murray,Outer Regional Australia,National or State Highway,457
Casey,Melbourne - South East,Major Cities of Australia,Collector Road,458
Greater Shepparton,Shepparton,Inner Regional Australia,National or State Highway,459
Camden,Sydney - Outer South West,Major Cities of Australia,Arterial Road,460
Mid-Western,Central West,Outer Regional Australia,National or State Highway,461
Glenorchy,Hobart,Inner Regional Australia,Arterial Road,462
Georges River,Sydney - Inner South West,Major Cities of Australia,Collector Road,463
Brisbane,Brisbane - North,Major Cities of Australia,Sub-arterial Road,464
Hornsby,Sydney - North Sydney and Hornsby,Major Cities of Australia,National or State Highway,465
Scenic Rim,Logan - Beaudesert,Inner Regional Australia,Collector Road,466
Randwick,Sydney - Eastern Suburbs,Major Cities of Australia,Local Road,467
Bundaberg,Wide Bay,Outer Regional Australia,National or State Highway,468
Strathfield,Sydney - Inner West,Major Cities of Australia,Arterial Road,469
Richmond Valley,Richmond - Tweed,Inner Regional Australia,National or State Highway,470
Hunters Hill,Sydney - Ryde,Major Cities of Australia,Local Road,471
Berri Barmera,South Australia - South East,Outer Regional Australia,Arterial Road,472
Wangaratta,Hume,Inner Regional Australia,Arterial Road,473
Parkes,Central West,Outer Regional Australia,Arterial Road,474
Goulburn Mulwaree,Capital Region,Inner Regional Australia,Sub-arterial Road,475
Gunnedah,New England and North West,Outer Regional Australia,Sub-arterial Road,476
Dubbo,Far West and Orana,Outer Regional Australia,National or State Highway,477
Brisbane,Brisbane - North,Major Cities of Australia,Collector Road,478
Gympie,Wide Bay,Outer Regional Australia,National or State Highway,479
Byron,Richmond - Tweed,Inner Regional Australia,Arterial Road,480
Cabonne,Far West and Orana,Outer Regional Australia,Sub-arterial Road,481
Mansfield,Hume,Outer Regional Australia,Local Road,482
Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,Collector Road,483
Moorabool,Ballarat,Inner Regional Australia,National or State Highway,484
Isaac,Mackay - Isaac - Whitsunday,Outer Regional Australia,National or State Highway,485
Bathurst,Central West,Inner Regional Australia,Local Road,486
Randwick,Sydney - Eastern Suburbs,Major Cities of Australia,Arterial Road,487
Inverell,New England and North West,Outer Regional Australia,National or State Highway,488
Western Downs,Darling Downs - Maranoa,Outer Regional Australia,National or State Highway,489
Mitchell,Hume,Inner Regional Australia,Sub-arterial Road,490
Benalla,Hume,Inner Regional Australia,Local Road,491
Bellingen,Coffs Harbour - Grafton,Inner Regional Australia,Arterial Road,492
Break O'Day,Launceston and North East,Outer Regional Australia,Arterial Road,493
Mildura,North West,Outer Regional Australia,Local Road,494
Wellington,Latrobe - Gippsland,Inner Regional Australia,National or State Highway,495
Burdekin,Townsville,Outer Regional Australia,Local Road,496
Central Coast (NSW),Central Coast,Inner Regional Australia,Arterial Road,497
The Hills,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Busway,498
Edward River,Murray,Outer Regional Australia,Sub-arterial Road,499
Coorong,South Australia - South East,Outer Regional Australia,Sub-arterial Road,500
Redland,Brisbane - East,Major Cities of Australia,Local Road,501
George Town,Launceston and North East,Outer Regional Australia,Arterial Road,502
Mitchell,Hume,Inner Regional Australia,National or State Highway,503
Richmond Valley,Richmond - Tweed,Inner Regional Australia,Local Road,504
Ryde,Sydney - Ryde,Major Cities of Australia,Arterial Road,505
Bass Coast,Latrobe - Gippsland,Inner Regional Australia,Sub-arterial Road,506
Wellington,Latrobe - Gippsland,Inner Regional Australia,Sub-arterial Road,507
Richmond,Queensland - Outback,Very Remote Australia,National or State Highway,508
Baw Baw,Latrobe - Gippsland,Inner Regional Australia,Arterial Road,509
Northern Midlands,Launceston and North East,Outer Regional Australia,Arterial Road,510
Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,Sub-arterial Road,511
Strathbogie,Hume,Inner Regional Australia,Local Road,512
Hay,Murray,Remote Australia,Sub-arterial Road,513
Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,National or State Highway,514
Dorset,Launceston and North East,Outer Regional Australia,Collector Road,515
Weddin,Central West,Outer Regional Australia,Arterial Road,516
Moorabool,Melbourne - West,Inner Regional Australia,National or State Highway,517
Knox,Melbourne - Outer East,Major Cities of Australia,Arterial Road,518
Rockhampton,Central Queensland,Inner Regional Australia,Access road,519
Buloke,North West,Outer Regional Australia,Arterial Road,520
Moira,Shepparton,Outer Regional Australia,Sub-arterial Road,521
Warrumbungle,Far West and Orana,Outer Regional Australia,National or State Highway,522
Lockyer Valley,Toowoomba,Inner Regional Australia,Sub-arterial Road,523
Lachlan,Central West,Outer Regional Australia,Arterial Road,524
Waverley,Sydney - Eastern Suburbs,Major Cities of Australia,Local Road,525
Northern Grampians,North West,Outer Regional Australia,Sub-arterial Road,526
Gunnedah,New England and North West,Outer Regional Australia,National or State Highway,527
Campaspe,Shepparton,Inner Regional Australia,Sub-arterial Road,528
Glen Eira,Melbourne - Inner South,Major Cities of Australia,Arterial Road,529
Singleton,Hunter Valley exc Newcastle,Inner Regional Australia,National or State Highway,530
Fraser Coast,Wide Bay,Inner Regional Australia,Sub-arterial Road,531
Melton,Melbourne - West,Major Cities of Australia,Arterial Road,532
Moreton Bay,Moreton Bay - North,Inner Regional Australia,Sub-arterial Road,533
Charters Towers,Townsville,Outer Regional Australia,Local Road,534
Mareeba,Cairns,Outer Regional Australia,Local Road,535
Horsham,North West,Outer Regional Australia,National or State Highway,536
Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,Local Road,537
Adelaide Plains,Adelaide - North,Inner Regional Australia,Sub-arterial Road,538
Stonnington,Melbourne - Inner,Major Cities of Australia,Collector Road,539
Campbelltown (NSW),Sydney - Outer South West,Major Cities of Australia,Arterial Road,540
Campaspe,Shepparton,Inner Regional Australia,Arterial Road,541
Cowra,Central West,Inner Regional Australia,National or State Highway,542
Mount Remarkable,Barossa - Yorke - Mid North,Outer Regional Australia,Arterial Road,543
Gilgandra,Far West and Orana,Outer Regional Australia,National or State Highway,544
Brisbane,Brisbane Inner City,Major Cities of Australia,National or State Highway,545
Liverpool,Sydney - South West,Major Cities of Australia,Collector Road,546
Adelaide Plains,Barossa - Yorke - Mid North,Inner Regional Australia,Local Road,547
Alexandrina,South Australia - South East,Inner Regional Australia,National or State Highway,548
Cessnock,Hunter Valley exc Newcastle,Major Cities of Australia,National or State Highway,549
Wollongong,Illawarra,Major Cities of Australia,Arterial Road,550
Murrindindi,Hume,Inner Regional Australia,Arterial Road,551
Goondiwindi,Darling Downs - Maranoa,Outer Regional Australia,National or State Highway,552
Tweed,Richmond - Tweed,Major Cities of Australia,Arterial Road,553
South Burnett,Wide Bay,Inner Regional Australia,Sub-arterial Road,554
Wellington,Latrobe - Gippsland,Inner Regional Australia,Local Road,555
Mackay,Mackay - Isaac - Whitsunday,Inner Regional Australia,National or State Highway,556
Adelaide,Adelaide - Central and Hills,Major Cities of Australia,Local Road,557
Logan,Logan - Beaudesert,Major Cities of Australia,National or State Highway,558
Mitchell,Melbourne - North East,Inner Regional Australia,Arterial Road,559
Cassowary Coast,Cairns,Remote Australia,National or State Highway,560
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,561
Ballina,Richmond - Tweed,Inner Regional Australia,Local Road,562
Hume,Melbourne - North West,Major Cities of Australia,Local Road,563
Burdekin,Townsville,Outer Regional Australia,Collector Road,564
Brisbane,Brisbane - West,Major Cities of Australia,Collector Road,565
East Gippsland,Latrobe - Gippsland,Outer Regional Australia,Local Road,566
Moreton Bay,Moreton Bay - South,Inner Regional Australia,Local Road,567
West Torrens,Adelaide - West,Major Cities of Australia,Sub-arterial Road,568
Warrumbungle,Far West and Orana,Outer Regional Australia,Sub-arterial Road,569
Yarriambiack,North West,Outer Regional Australia,National or State Highway,570
Cardinia,Melbourne - South East,Inner Regional Australia,Arterial Road,571
Armidale,New England and North West,Inner Regional Australia,National or State Highway,572
Glen Eira,Melbourne - Inner South,Major Cities of Australia,Local Road,573
Snowy Valleys,Riverina,Inner Regional Australia,National or State Highway,574
Sunshine Coast,Sunshine Coast,Inner Regional Australia,Sub-arterial Road,575
Macedon Ranges,Melbourne - North West,Inner Regional Australia,Collector Road,576
Inverell,New England and North West,Outer Regional Australia,Access road,577
Mitchell,Hume,Inner Regional Australia,Local Road,578
Whitehorse,Melbourne - Outer East,Major Cities of Australia,Collector Road,579
Cloncurry,Queensland - Outback,Very Remote Australia,Sub-arterial Road,580
Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,Collector Road,581
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Outer Regional Australia,Arterial Road,582
Greater Dandenong,Melbourne - South East,Major Cities of Australia,Local Road,583
Tea Tree Gully,Adelaide - North,Major Cities of Australia,Collector Road,584
Western Downs,Darling Downs - Maranoa,Remote Australia,National or State Highway,585
Penrith,Sydney - South West,Major Cities of Australia,Arterial Road,586
Kiama,Illawarra,Inner Regional Australia,Sub-arterial Road,587
Coffs Harbour,Coffs Harbour - Grafton,Inner Regional Australia,Local Road,588
Redland,Brisbane - East,Outer Regional Australia,Collector Road,589
Liverpool,Sydney - South West,Major Cities of Australia,Sub-arterial Road,590
Cowra,Central West,Inner Regional Australia,Arterial Road,591
Hay,Murray,Remote Australia,National or State Highway,592
Boroondara,Melbourne - Inner East,Major Cities of Australia,Sub-arterial Road,593
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Arterial Road,594
Sorell,Hobart,Inner Regional Australia,National or State Highway,595
Towong,Hume,Outer Regional Australia,Arterial Road,596
Brighton,Hobart,Inner Regional Australia,Sub-arterial Road,597
Grant,South Australia - South East,Outer Regional Australia,Collector Road,598
Port Phillip,Melbourne - Inner,Major Cities of Australia,National or State Highway,599
Hepburn,Ballarat,Inner Regional Australia,Arterial Road,600
Central Highlands (Qld),Central Queensland,Outer Regional Australia,National or State Highway,601
Shellharbour,Illawarra,Major Cities of Australia,National or State Highway,602
Ryde,Sydney - Ryde,Major Cities of Australia,Local Road,603
Knox,Melbourne - Outer East,Major Cities of Australia,Pedestrian Thoroughfare,604
Murray River,Murray,Outer Regional Australia,Arterial Road,605
Toowoomba,Toowoomba,Inner Regional Australia,Sub-arterial Road,606
Wollondilly,Sydney - Outer South West,Inner Regional Australia,Sub-arterial Road,607
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Sub-arterial Road,608
Charters Towers,Townsville,Remote Australia,National or State Highway,609
Blayney,Central West,Outer Regional Australia,Sub-arterial Road,610
Gold Coast,Gold Coast,Major Cities of Australia,Pedestrian Thoroughfare,611
Hilltops,Capital Region,Outer Regional Australia,Sub-arterial Road,612
Kingston (Vic.),Melbourne - Inner South,Major Cities of Australia,Arterial Road,613
Sydney,Sydney - City and Inner South,Major Cities of Australia,Arterial Road,614
Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,Local Road,615
Shoalhaven,Southern Highlands and Shoalhaven,Inner Regional Australia,Collector Road,616
Unincorporated ACT,Australian Capital Territory,Major Cities of Australia,National or State Highway,617
Playford,Adelaide - North,Major Cities of Australia,Sub-arterial Road,618
Lockyer Valley,Ipswich,Inner Regional Australia,National or State Highway,619
Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,Collector Road,620
Circular Head,West and North West,Remote Australia,National or State Highway,621
Liverpool,Sydney - South West,Major Cities of Australia,Local Road,622
Swan Hill,North West,Outer Regional Australia,Arterial Road,623
Murrumbidgee,Riverina,Outer Regional Australia,National or State Highway,624
Towong,Hume,Outer Regional Australia,National or State Highway,625
Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,Arterial Road,626
Scenic Rim,Ipswich,Inner Regional Australia,Local Road,627
Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Outer Regional Australia,Collector Road,628
Greater Geelong,Geelong,Major Cities of Australia,Local Road,629
Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,Collector Road,630
Upper Lachlan,Capital Region,Outer Regional Australia,Arterial Road,631
Orange,Central West,Inner Regional Australia,Local Road,632
Moreton Bay,Moreton Bay - North,Major Cities of Australia,National or State Highway,633
Launceston,Launceston and North East,Inner Regional Australia,Local Road,634
Kingston (Vic.),Melbourne - South East,Major Cities of Australia,Arterial Road,635
Yarra Ranges,Melbourne - Outer East,Major Cities of Australia,Arterial Road,636
Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway,637
Cowra,Central West,Outer Regional Australia,National or State Highway,638
Walkerville,Adelaide - Central and Hills,Major Cities of Australia,Local Road,639
Bayside (NSW),Sydney - City and Inner South,Major Cities of Australia,Arterial Road,640
Sutherland,Illawarra,Inner Regional Australia,Arterial Road,641
Whitehorse,Melbourne - Inner East,Major Cities of Australia,Local Road,642
Strathbogie,Hume,Inner Regional Australia,Arterial Road,643
Adelaide,Adelaide - Central and Hills,Major Cities of Australia,Arterial Road,644
Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,Sub-arterial Road,645
Gympie,Wide Bay,Inner Regional Australia,Sub-arterial Road,646
Wentworth,Murray,Remote Australia,Arterial Road,647
Tasman,South East,Outer Regional Australia,National or State Highway,648
Latrobe (Tas.),West and North West,Outer Regional Australia,National or State Highway,649
Rockhampton,Central Queensland,Outer Regional Australia,Local Road,650
Manningham,Melbourne - Inner East,Major Cities of Australia,Local Road,651
Ipswich,Ipswich,Major Cities of Australia,Collector Road,652
Gympie,Wide Bay,Inner Regional Australia,National or State Highway,653
Port Augusta,South Australia - Outback,Outer Regional Australia,National or State Highway,654
Benalla,Hume,Outer Regional Australia,Local Road,655
Liverpool Plains,New England and North West,Outer Regional Australia,Arterial Road,656
Mornington Peninsula,Mornington Peninsula,Inner Regional Australia,Arterial Road,657
Hinchinbrook,Townsville,Remote Australia,Local Road,658
Unley,Adelaide - Central and Hills,Major Cities of Australia,Collector Road,659
Snowy Valleys,Riverina,Inner Regional Australia,Local Road,660
Banana,Central Queensland,Outer Regional Australia,Local Road,661
Mount Barker,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,662
Inner West,Sydney - City and Inner South,Major Cities of Australia,National or State Highway,663
Salisbury,Adelaide - North,Major Cities of Australia,Arterial Road,664
Eurobodalla,Capital Region,Inner Regional Australia,National or State Highway,665
Sutherland,Sydney - Sutherland,Major Cities of Australia,National or State Highway,666
Palmerston,Darwin,Outer Regional Australia,National or State Highway,667
Barunga West,Barossa - Yorke - Mid North,Outer Regional Australia,Sub-arterial Road,668
Tamworth,New England and North West,Inner Regional Australia,Local Road,669
West Coast,West and North West,Remote Australia,Local Road,670
Tablelands,Cairns,Outer Regional Australia,National or State Highway,671
Yass Valley,Capital Region,Inner Regional Australia,Sub-arterial Road,672
Tatiara,South Australia - South East,Outer Regional Australia,Local Road,673
Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,Local Road,674
Snowy Monaro,Capital Region,Inner Regional Australia,Local Road,675
Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,Collector Road,676
Snowy Valleys,Riverina,Outer Regional Australia,Sub-arterial Road,677
Narrandera,Riverina,Outer Regional Australia,National or State Highway,678
West Torrens,Adelaide - West,Major Cities of Australia,Arterial Road,679
Etheridge,Queensland - Outback,Very Remote Australia,Sub-arterial Road,680
Liverpool,Sydney - South West,Major Cities of Australia,National or State Highway,681
Bland,Central West,Outer Regional Australia,National or State Highway,682
Georges River,Sydney - Inner South West,Major Cities of Australia,Local Road,683
Brisbane,Brisbane - West,Major Cities of Australia,Sub-arterial Road,684
Wingecarribee,Southern Highlands and Shoalhaven,Inner Regional Australia,Sub-arterial Road,685
Etheridge,Queensland - Outback,Very Remote Australia,Collector Road,686
Forbes,Central West,Outer Regional Australia,Local Road,687
Port Adelaide Enfield,Adelaide - West,Major Cities of Australia,Sub-arterial Road,688
Oberon,Central West,Outer Regional Australia,Arterial Road,689
Maranoa,Darling Downs - Maranoa,Outer Regional Australia,National or State Highway,690
Wollongong,Illawarra,Inner Regional Australia,National or State Highway,691
Sutherland,Sydney - Sutherland,Major Cities of Australia,Local Road,692
Corangamite,Warrnambool and South West,Inner Regional Australia,Sub-arterial Road,693
Tweed,Richmond - Tweed,Inner Regional Australia,Local Road,694
Upper Lachlan,Capital Region,Inner Regional Australia,Arterial Road,695
Townsville,Townsville,Outer Regional Australia,Sub-arterial Road,696
Cobar,Far West and Orana,Very Remote Australia,Arterial Road,697
Casey,Melbourne - South East,Major Cities of Australia,Sub-arterial Road,698
Bass Coast,Latrobe - Gippsland,Inner Regional Australia,National or State Highway,699
Hobart,Hobart,Inner Regional Australia,National or State Highway,700
Wollongong,Illawarra,Inner Regional Australia,Sub-arterial Road,701
Northern Beaches,Sydney - Northern Beaches,Major Cities of Australia,Collector Road,702
Gympie,Wide Bay,Inner Regional Australia,Collector Road,703
Yorke Peninsula,Barossa - Yorke - Mid North,Outer Regional Australia,Local Road,704
Derwent Valley,Hobart,Inner Regional Australia,Local Road,705
Surf Coast,Geelong,Inner Regional Australia,Arterial Road,706
Litchfield,Darwin,Outer Regional Australia,Arterial Road,707
Moorabool,Ballarat,Inner Regional Australia,Sub-arterial Road,708
Bundaberg,Wide Bay,Inner Regional Australia,Local Road,709
Moreton Bay,Moreton Bay - South,Inner Regional Australia,Sub-arterial Road,710
Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Arterial Road,711
Sydney,Sydney - City and Inner South,Major Cities of Australia,Collector Road,712
Waratah-Wynyard,West and North West,Outer Regional Australia,Access road,713
Hornsby,Sydney - Ryde,Major Cities of Australia,Collector Road,714
Central Coast (NSW),Central Coast,Inner Regional Australia,Collector Road,715
Hume,Melbourne - North West,Major Cities of Australia,Sub-arterial Road,716
Hepburn,Ballarat,Inner Regional Australia,National or State Highway,717
Port Pirie,Barossa - Yorke - Mid North,Outer Regional Australia,Collector Road,718
Bass Coast,Latrobe - Gippsland,Inner Regional Australia,Arterial Road,719
Muswellbrook,Hunter Valley exc Newcastle,Outer Regional Australia,Arterial Road,720
Parramatta,Sydney - Parramatta,Major Cities of Australia,Collector Road,721
Circular Head,West and North West,Outer Regional Australia,National or State Highway,722
Greater Geelong,Geelong,Major Cities of Australia,Collector Road,723
Onkaparinga,Adelaide - South,Major Cities of Australia,Collector Road,724
Adelaide Hills,Adelaide - Central and Hills,Inner Regional Australia,Arterial Road,725
Northern Beaches,Sydney - Northern Beaches,Major Cities of Australia,Local Road,726
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Collector Road,727
Devonport,West and North West,Outer Regional Australia,National or State Highway,728
Randwick,Sydney - Eastern Suburbs,Major Cities of Australia,Collector Road,729
Flinders (Qld),Queensland - Outback,Very Remote Australia,National or State Highway,730
Onkaparinga,Adelaide - South,Major Cities of Australia,Local Road,731
Adelaide Hills,Adelaide - Central and Hills,Major Cities of Australia,Sub-arterial Road,732
Burwood,Sydney - Inner West,Major Cities of Australia,Arterial Road,733
Alice Springs,Northern Territory - Outback,Remote Australia,Sub-arterial Road,734
Nambucca Valley,Mid North Coast,Outer Regional Australia,Arterial Road,735
Moira,Shepparton,Inner Regional Australia,National or State Highway,736
Somerset,Moreton Bay - North,Outer Regional Australia,Local Road,737
Moonee Valley,Melbourne - North West,Major Cities of Australia,Local Road,738
Victoria Daly,Northern Territory - Outback,Very Remote Australia,Arterial Road,739
Manningham,Melbourne - Inner East,Major Cities of Australia,Pedestrian Thoroughfare,740
Lachlan,Central West,Remote Australia,Arterial Road,741
Inverell,New England and North West,Outer Regional Australia,Sub-arterial Road,742
Gwydir,New England and North West,Outer Regional Australia,Sub-arterial Road,743
Port Adelaide Enfield,Adelaide - North,Major Cities of Australia,Arterial Road,744
Bass Coast,Latrobe - Gippsland,Inner Regional Australia,Collector Road,745
Macedon Ranges,Bendigo,Inner Regional Australia,Access road,746
Central Coast (NSW),Central Coast,Major Cities of Australia,Collector Road,747
Isaac,Mackay - Isaac - Whitsunday,Remote Australia,Sub-arterial Road,748
Bayside (NSW),Sydney - Inner South West,Major Cities of Australia,Arterial Road,749
Snowy Valleys,Riverina,Outer Regional Australia,Arterial Road,750
Banyule,Melbourne - North East,Major Cities of Australia,Local Road,751
Cloncurry,Queensland - Outback,Very Remote Australia,National or State Highway,752
Latrobe (Vic.),Latrobe - Gippsland,Inner Regional Australia,Arterial Road,753
Lithgow,Central West,Outer Regional Australia,Arterial Road,754
Charles Sturt,Adelaide - West,Major Cities of Australia,Sub-arterial Road,755
Maroondah,Melbourne - Outer East,Major Cities of Australia,Sub-arterial Road,756
Federation,Murray,Inner Regional Australia,Arterial Road,757
Eurobodalla,Capital Region,Inner Regional Australia,Sub-arterial Road,758
McKinlay,Queensland - Outback,Very Remote Australia,National or State Highway,759
Wyndham,Melbourne - West,Major Cities of Australia,National or State Highway,760
Wagga Wagga,Riverina,Outer Regional Australia,National or State Highway,761
Lockyer Valley,Ipswich,Inner Regional Australia,Local Road,762
Toowoomba,Toowoomba,Inner Regional Australia,National or State Highway,763
Lithgow,Central West,Inner Regional Australia,Local Road,764
Coonamble,Far West and Orana,Remote Australia,Arterial Road,765
Benalla,Hume,Inner Regional Australia,National or State Highway,766
Hornsby,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,Local Road,767
Campbelltown (NSW),Sydney - Outer South West,Major Cities of Australia,Local Road,768
Nambucca Valley,Mid North Coast,Inner Regional Australia,Access road,769
Moyne,Warrnambool and South West,Outer Regional Australia,National or State Highway,770
Kempsey,Mid North Coast,Inner Regional Australia,Local Road,771
Carrathool,Riverina,Outer Regional Australia,National or State Highway,772
Barcoo,Queensland - Outback,Very Remote Australia,Collector Road,773
Bathurst,Central West,Inner Regional Australia,Sub-arterial Road,774
Ballina,Richmond - Tweed,Inner Regional Australia,Arterial Road,775
Circular Head,West and North West,Outer Regional Australia,Sub-arterial Road,776
Mareeba,Queensland - Outback,Outer Regional Australia,Sub-arterial Road,777
Isaac,Mackay - Isaac - Whitsunday,Outer Regional Australia,Collector Road,778
Wattle Range,South Australia - South East,Outer Regional Australia,Collector Road,779
Brimbank,Melbourne - West,Major Cities of Australia,Local Road,780
Mid Murray,South Australia - South East,Inner Regional Australia,Local Road,781
Baw Baw,Latrobe - Gippsland,Inner Regional Australia,Sub-arterial Road,782
Port Adelaide Enfield,Adelaide - North,Major Cities of Australia,Sub-arterial Road,783
Hobsons Bay,Melbourne - West,Major Cities of Australia,Local Road,784
Temora,Riverina,Outer Regional Australia,Sub-arterial Road,785
Latrobe (Tas.),West and North West,Outer Regional Australia,Collector Road,786
Toowoomba,Darling Downs - Maranoa,Inner Regional Australia,Collector Road,787
Tatiara,South Australia - South East,Remote Australia,Collector Road,788
Wyndham,Melbourne - West,Major Cities of Australia,Collector Road,789
Yarra,Melbourne - Inner,Major Cities of Australia,National or State Highway,790
Playford,Adelaide - North,Major Cities of Australia,Local Road,791
Liverpool Plains,New England and North West,Outer Regional Australia,Local Road,792
Noosa,Sunshine Coast,Inner Regional Australia,National or State Highway,793
Karoonda East Murray,South Australia - South East,Outer Regional Australia,Arterial Road,794
Maranoa,Darling Downs - Maranoa,Remote Australia,Local Road,795
Livingstone,Central Queensland,Inner Regional Australia,Sub-arterial Road,796
Byron,Richmond - Tweed,Inner Regional Australia,National or State Highway,797
Port Augusta,South Australia - Outback,Outer Regional Australia,Local Road,798
Fraser Coast,Wide Bay,Inner Regional Australia,Access road,799
Unincorporated Vic,Latrobe - Gippsland,Outer Regional Australia,Access road,800
Mid-Western,Central West,Inner Regional Australia,National or State Highway,801
Gannawarra,North West,Outer Regional Australia,National or State Highway,802
Marion,Adelaide - South,Major Cities of Australia,Sub-arterial Road,803
Banana,Central Queensland,Outer Regional Australia,National or State Highway,804
Buloke,North West,Outer Regional Australia,National or State Highway,805
Moree Plains,New England and North West,Outer Regional Australia,Local Road,806
Blue Mountains,Sydney - Outer West and Blue Mountains,Inner Regional Australia,National or State Highway,807
